index,n,digits_Q47n,log10_n
688,190407865132,521,11.279685
689,190687574734,521,11.280322
690,190901847788,521,11.280810
691,191092144460,521,11.281243
692,191141967758,521,11.281356
693,191438329085,521,11.282029
694,191863815026,521,11.282993
695,191945949041,521,11.283179
696,191955625230,521,11.283201
697,192046596804,521,11.283407
698,192641412832,521,11.284750
699,192695129511,521,11.284871
700,192758089336,521,11.285013
701,192912011969,521,11.285359
702,193087289845,521,11.285754
703,193160650236,521,11.285919
704,193204136509,521,11.286016
705,193308346680,521,11.286251
706,194187703461,521,11.288222
707,194745059786,521,11.289466
708,194757492538,521,11.289494
709,194902339379,522,11.289817
710,194986195678,522,11.290004
711,195188997153,522,11.290455
712,195658883987,522,11.291500
713,195701543354,522,11.291594
714,195860168439,522,11.291946
715,195917688849,522,11.292074
716,196635889798,522,11.293663
717,196807871883,522,11.294042
718,197540028585,522,11.295655
719,198514016386,522,11.297791
720,198690941556,522,11.298178
721,198789647963,522,11.298394
722,198830954111,522,11.298484
723,198992912472,522,11.298838
724,198996421538,522,11.298845
725,199515980283,522,11.299978
726,199533092590,522,11.300015
727,199620881026,522,11.300206
728,199925278168,522,11.300868
729,200067309224,522,11.301176
730,200270848040,522,11.301618
731,200618029970,522,11.302370
732,200753213474,522,11.302663
733,200849418540,522,11.302871
734,200945343333,522,11.303078
735,201466943077,522,11.304204
736,202082068496,522,11.305528
737,202362817600,522,11.306131
738,202422316126,522,11.306258
739,202498466834,522,11.306422
740,203112730960,522,11.307737
741,203358260112,522,11.308262
742,204612814386,522,11.310933
743,204783063381,522,11.311294
744,204844429912,522,11.311424
745,205025170840,523,11.311807
746,205972941218,523,11.313810
747,206194725895,523,11.314278
748,206392111741,523,11.314693
749,206498461899,523,11.314917
750,206581927229,523,11.315092
751,206622020426,523,11.315177
752,206857938414,523,11.315672
753,206994210263,523,11.315958
754,207013790357,523,11.315999
755,207375376501,523,11.316757
756,207528746862,523,11.317078
757,207946270259,523,11.317951
758,208309496796,523,11.318709
759,208501243901,523,11.319109
760,208576666962,523,11.319266
761,208867010559,523,11.319870
762,210295339377,523,11.322830
763,211046464559,523,11.324378
764,211617133805,523,11.325551
765,211778172887,523,11.325881
766,212077875578,523,11.326495
767,212394097255,523,11.327142
768,212581816988,523,11.327526
769,212801150017,523,11.327974
770,213211434849,523,11.328810
771,213301268028,523,11.328993
772,213321593025,523,11.329035
773,213426480069,523,11.329248
774,213896922320,523,11.330205
775,214083351014,523,11.330583
776,214361737651,523,11.331147
777,214449083370,523,11.331324
778,216050459805,524,11.334555
779,216168505554,524,11.334792
780,216331021697,524,11.335119
781,216587501496,524,11.335633
782,217302934756,524,11.337066
783,217544284083,524,11.337548
784,217550787705,524,11.337561
785,217693285225,524,11.337845
786,217910994051,524,11.338279
787,218260279330,524,11.338975
788,218674870403,524,11.339799
789,219122683760,524,11.340687
790,220188215484,524,11.342794
791,220418162238,524,11.343247
792,220678409701,524,11.343760
793,220719697662,524,11.343841
794,220940785778,524,11.344276
795,221519858770,524,11.345413
796,221704480433,524,11.345774
797,221910653232,524,11.346178
798,221930061071,524,11.346216
799,221945615009,524,11.346247
800,222235512896,524,11.346813
801,222260316693,524,11.346862
802,222323496727,524,11.346985
803,222458882797,524,11.347250
804,222536160251,524,11.347401
805,222586855610,524,11.347500
806,222659721036,524,11.347642
807,223369437846,524,11.349024
808,224274759656,524,11.350780
809,224595216655,524,11.351401
810,224707877040,524,11.351618
811,225019924295,524,11.352221
812,226808201528,525,11.355659
813,227084000121,525,11.356187
814,227115127102,525,11.356246
815,227257528553,525,11.356518
816,227349143304,525,11.356693
817,228050885143,525,11.358032
818,228057242445,525,11.358044
819,228387047689,525,11.358671
820,228502374850,525,11.358891
821,228504176475,525,11.358894
822,228681246673,525,11.359231
823,228739806961,525,11.359342
824,229774973773,525,11.361303
825,230143919993,525,11.362000
826,230275232735,525,11.362247
827,231149119896,525,11.363892
828,231203774121,525,11.363995
829,231622912972,525,11.364782
830,232518663379,525,11.366458
831,232807006620,525,11.366996
832,233941206960,525,11.369107
833,234057220492,525,11.369322
834,235045344445,525,11.371152
835,235117632463,525,11.371285
836,235315067725,525,11.371650
837,235507256430,525,11.372004
838,235807753516,525,11.372558
839,236119861344,525,11.373133
840,236403751042,525,11.373654
841,236495592335,525,11.373823
842,236735953827,525,11.374264
843,236753727989,525,11.374297
844,236814086844,525,11.374408
845,237889856114,525,11.376376
846,238745380965,526,11.377935
847,238885028183,526,11.378189
848,239116956911,526,11.378610
849,239880129557,526,11.379994
850,240148070776,526,11.380479
851,240386686244,526,11.380910
852,241217908751,526,11.382410
853,241333915992,526,11.382618
854,242857318773,526,11.385351
855,242890155402,526,11.385410
856,243057518168,526,11.385709
857,244535718428,526,11.388342
858,244793061501,526,11.388799
859,245212287462,526,11.389542
860,245737213059,526,11.390471
861,246334747434,526,11.391526
862,246408356494,526,11.391655
863,247308344513,526,11.393239
864,247370056215,526,11.393347
865,247663306966,526,11.393862
866,247969220993,526,11.394398
867,248702735559,526,11.395681
868,248826314904,526,11.395896
869,249085292737,526,11.396348
870,249394145879,526,11.396886
871,249854431217,526,11.397687
872,250009143512,526,11.397956
873,250122974124,526,11.398154
874,250852219932,527,11.399418
875,250885017827,527,11.399475
876,250904036388,527,11.399508
877,251331027294,527,11.400246
878,251443871175,527,11.400441
879,251746266760,527,11.400963
880,252061087598,527,11.401506
881,252267916650,527,11.401862
882,252485642329,527,11.402237
883,252509135199,527,11.402277
884,252787525413,527,11.402756
885,253051291411,527,11.403209
886,253179813659,527,11.403429
887,253448046231,527,11.403889
888,253484038604,527,11.403951
889,253678671748,527,11.404284
